"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Postsecondary
Readiness",,"US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
4901,ARANSAS COUNTY ISD,4901041,ROCKPORT-FULTON MIDDLE,REGION 02: CORPUS CHRISTI,ARANSAS,Middle School,06-אוג,No,No,698,63.60%,4.60%,C,79,C,76,B,81,C,76,B,81,C,75,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,,27,27,32,32,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
4901,ARANSAS COUNTY ISD,4901101,FULTON LEARNING CENTER,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,03-מאי,No,No,666,70.30%,7.10%,D,69,D,60,C,70,C,70,F,59,D,67,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,32,32,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
4901,ARANSAS COUNTY ISD,4901103,LIVE OAK LEARNING CENTER,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,EE - 02,No,No,729,80%,6.30%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,27,27,32,32,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
5901,ARCHER CITY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,491,51.30%,1.40%,B,89,B,88,B,86,B,84,B,86,A,92,,,,,,,,Earned,,,,,,,,
5901,ARCHER CITY ISD,5901001,ARCHER CITY H S,REGION 09: WICHITA FALLS,ARCHER,High School,07-דצמ,No,No,206,47.60%,0.50%,B,89,B,84,B,87,B,87,B,81,A,92,,,Earned,Not Earned,Earned,Earned,Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5901,ARCHER CITY ISD,5901101,ARCHER CITY EL,REGION 09: WICHITA FALLS,ARCHER,Elementary,PK - 06,No,No,285,54%,2.10%,A,92,A,93,A,93,B,80,A,93,A,91,,,Earned,Earned,Not Earned,,Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5902,HOLLIDAY ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,"1,134",22.50%,0.60%,B,89,A,91,B,84,B,84,C,78,B,85,,,,,,,,Not Earned,,,,,,,,
5902,HOLLIDAY ISD,5902001,HOLLIDAY H S,REGION 09: WICHITA FALLS,ARCHER,High School,09-דצמ,No,No,352,20.70%,0%,A,94,A,94,B,87,B,87,B,84,A,94,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5902,HOLLIDAY ISD,5902041,HOLLIDAY MIDDLE,REGION 09: WICHITA FALLS,ARCHER,Middle School,06-אוג,No,No,273,20.90%,0.40%,B,88,A,91,B,83,B,83,C,77,B,82,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5902,HOLLIDAY ISD,5902101,HOLLIDAY EL,REGION 09: WICHITA FALLS,ARCHER,Elementary,PK - 05,No,No,509,24.60%,1.20%,B,84,B,88,B,82,B,82,C,70,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5904,WINDTHORST ISD,,,REGION 09: WICHITA FALLS,ARCHER,District,,No,No,527,40.60%,5.90%,A,90,A,91,B,88,B,84,B,88,B,88,,,,,,,,Earned,,,,,,,,
5904,WINDTHORST ISD,5904001,WINDTHORST H S,REGION 09: WICHITA FALLS,ARCHER,High School,09-דצמ,No,No,141,44.70%,4.30%,A,91,B,89,B,88,B,88,B,87,A,95,,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5904,WINDTHORST ISD,5904041,WINDTHORST JH,REGION 09: WICHITA FALLS,ARCHER,Middle School,06-אוג,No,No,124,33.10%,4%,A,92,A,92,B,89,B,82,B,89,A,91,,,Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
5904,WINDTHORST ISD,5904101,WINDTHORST EL,REGION 09: WICHITA FALLS,ARCHER,Elementary,EE - 05,No,No,262,42%,7.60%,B,87,A,91,B,88,B,81,B,88,C,77,,,Earned,Earned,Not Earned,,Not Earned,Earned,,13,13,69,69,30,30,ZONED SCHOOL-TRANSFERS ACCEPTED
6902,CLAUDE ISD,,,REGION 16: AMARILLO,ARMSTRONG,District,,No,No,328,34.10%,1.50%,A,92,A,92,B,87,D,69,B,87,A,92,,,,,,,,,,,,,,,,
6902,CLAUDE ISD,6902001,CLAUDE SCHOOLS,REGION 16: AMARILLO,ARMSTRONG,Elem/Secondary,PK - 12,No,No,328,34.10%,1.50%,A,92,A,92,B,87,D,69,B,87,A,92,,,Not Earned,Earned,Earned,Earned,Not Earned,Not Earned,,13,13,86,86,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
7901,CHARLOTTE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,433,62.80%,6%,D,69,D,66,C,75,C,75,D,62,D,64,,,,,,,,Not Earned,,,,,,,,
7901,CHARLOTTE ISD,7901001,CHARLOTTE H S,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,No,No,130,66.90%,5.40%,B,81,C,72,B,87,B,87,D,69,D,66,,,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,,28,28,80,80,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
7901,CHARLOTTE ISD,7901041,CHARLOTTE MIDDLE,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,06-אוג,No,No,96,66.70%,8.30%,C,77,D,60,C,76,C,76,F,58,C,78,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,28,28,80,80,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
7901,CHARLOTTE ISD,7901101,CHARLOTTE EL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,PK - 05,No,No,207,58.50%,5.30%,F,59,D,64,F,58,F,57,F,58,F,48,,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,28,28,80,80,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
7902,JOURDANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,584",57.70%,3.60%,C,79,C,79,C,79,D,67,C,79,B,80,,,,,,,,Not Earned,,,,,,,,
7902,JOURDANTON ISD,7902001,JOURDANTON H S,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,No,No,441,49.90%,2.50%,B,84,B,82,B,82,D,64,B,82,A,90,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7902,JOURDANTON ISD,7902004,THE LARRY BROWN SCHOOL,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,08-אוג,No,No,1,100%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,SPECIAL ASSIGNMENT SCHOOL
7902,JOURDANTON ISD,7902005,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-אוק,Yes,No,6,50%,16.70%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,SPECIAL ASSIGNMENT SCHOOL
7902,JOURDANTON ISD,7902006,JOURDANTON DAEP,REGION 20: SAN ANTONIO,ATASCOSA,Elem/Secondary,06-דצמ,No,No,11,81.80%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,SPECIAL ASSIGNMENT SCHOOL
7902,JOURDANTON ISD,7902041,JOURDANTON J H,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,06-אוג,No,No,377,56.20%,4.20%,B,84,B,81,B,83,B,80,B,83,B,85,,,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7902,JOURDANTON ISD,7902101,JOURDANTON EL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,02-מאי,No,No,468,60.50%,4.10%,D,68,C,72,C,72,F,57,C,72,D,60,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7902,JOURDANTON ISD,7902102,JOURDANTON ECC,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,EE - 01,No,No,280,66.40%,3.60%,D,68,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7904,LYTLE ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,806",75%,15.10%,D,64,D,63,D,66,D,65,D,66,F,59,,,,,,,,Not Earned,,,,,,,,
7904,LYTLE ISD,7904001,LYTLE H S,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,No,No,487,72.90%,12.10%,C,71,D,67,C,72,D,64,C,72,C,70,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,23,23,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7904,LYTLE ISD,7904002,LYTLE DAEP,REGION 20: SAN ANTONIO,ATASCOSA,Elem/Secondary,06-דצמ,No,No,10,90%,10%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7904,LYTLE ISD,7904041,LYTLE J H,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,06-אוג,No,No,398,73.10%,17.10%,C,72,D,67,C,72,C,72,C,70,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,23,23,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7904,LYTLE ISD,7904101,LYTLE EL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,02-מאי,No,No,541,72.60%,14.20%,F,51,F,56,F,59,F,59,F,55,F,33,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7904,LYTLE ISD,7904103,LYTLE PRIMARY SCHOOL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,EE - 01,No,No,370,83%,18.40%,F,51,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7905,PLEASANTON ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"3,378",67.10%,6%,C,76,C,76,C,79,C,71,C,79,C,70,,,,,,,,Not Earned,,,,,,,,
7905,PLEASANTON ISD,7905001,PLEASANTON H S,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,No,No,944,60.40%,5.30%,B,88,B,83,B,86,C,79,B,86,A,92,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7905,PLEASANTON ISD,7905004,ATASCOSA CO ALTER,REGION 20: SAN ANTONIO,ATASCOSA,High School,07-אוק,No,No,6,50%,0%,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,SPECIAL ASSIGNMENT SCHOOL
7905,PLEASANTON ISD,7905005,PLEASANTON ISD SCHOOL OF CHOICE,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,Yes,No,9,55.60%,11.10%,B,84,B,84,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7905,PLEASANTON ISD,7905041,PLEASANTON J H,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,06-אוג,No,No,772,66.50%,6.30%,C,77,C,75,B,81,C,70,B,81,D,66,Targeted Support,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7905,PLEASANTON ISD,7905103,PLEASANTON EL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,02-מאי,No,No,957,70%,6.10%,D,62,D,69,D,69,D,62,D,69,F,46,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7905,PLEASANTON ISD,7905105,PLEASANTON PRI,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,EE - 01,No,No,690,73%,6.40%,D,62,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7906,POTEET ISD,,,REGION 20: SAN ANTONIO,ATASCOSA,District,,No,No,"1,832",75.60%,9.90%,C,75,C,70,C,75,C,75,C,72,C,75,,,,,,,,Not Earned,,,,,,,,
7906,POTEET ISD,7906001,POTEET H S,REGION 20: SAN ANTONIO,ATASCOSA,High School,09-דצמ,No,No,508,70.90%,6.50%,B,80,C,79,C,79,C,74,C,79,B,81,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7906,POTEET ISD,7906041,POTEET J H,REGION 20: SAN ANTONIO,ATASCOSA,Middle School,06-אוג,No,No,413,67.10%,12.30%,C,76,D,67,C,76,C,76,D,69,C,75,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7906,POTEET ISD,7906101,POTEET EL,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,EE - 02,No,No,539,81.80%,11.70%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Comprehensive Progress,,,,,,,,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
7906,POTEET ISD,7906102,POTEET INT,REGION 20: SAN ANTONIO,ATASCOSA,Elementary,03-מאי,No,No,372,82.50%,9.40%,D,69,D,62,C,75,C,75,D,66,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,28,28,80,80,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
8901,BELLVILLE ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,243",46.90%,10%,B,80,C,77,B,82,B,82,C,72,C,74,,,,,,,,Not Earned,,,,,,,,
8901,BELLVILLE ISD,8901001,BELLVILLE H S,REGION 06: HUNTSVILLE,AUSTIN,High School,09-דצמ,No,No,697,37.20%,5.50%,C,76,C,76,C,79,C,79,D,69,D,65,,,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8901,BELLVILLE ISD,8901041,BELLVILLE J H,REGION 06: HUNTSVILLE,AUSTIN,Middle School,06-אוג,No,No,558,47.80%,10.40%,B,80,B,81,B,87,B,87,B,80,B,81,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8901,BELLVILLE ISD,8901101,O'BRYANT PRI,REGION 06: HUNTSVILLE,AUSTIN,Elementary,EE - 03,No,No,543,59.50%,15.50%,C,79,C,77,C,79,Not Rated,.,C,79,B,85,Comprehensive Progress,,Not Earned,Earned,,,,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8901,BELLVILLE ISD,8901102,O'BRYANT INT,REGION 06: HUNTSVILLE,AUSTIN,Elementary,04-מאי,No,No,282,52.50%,13.10%,C,75,C,71,C,76,C,76,D,62,C,73,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8901,BELLVILLE ISD,8901105,WEST END EL,REGION 06: HUNTSVILLE,AUSTIN,Elementary,KG - 05,No,No,163,33.70%,4.90%,B,85,C,78,B,85,B,85,D,66,B,85,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8902,SEALY ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,"2,902",64.90%,19.10%,C,77,C,77,C,79,C,78,C,79,C,72,,,,,,,,Not Earned,,,,,,,,
8902,SEALY ISD,8902001,SEALY H S,REGION 06: HUNTSVILLE,AUSTIN,High School,09-דצמ,No,No,903,60.80%,13%,C,76,C,77,B,81,B,81,C,77,D,64,,,Not Earned,Earned,Not Earned,Earned,Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8902,SEALY ISD,8902041,SEALY J H,REGION 06: HUNTSVILLE,AUSTIN,Middle School,06-אוג,No,No,663,63.30%,18.10%,C,79,C,76,B,81,C,72,B,81,C,75,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8902,SEALY ISD,8902102,SELMAN EL,REGION 06: HUNTSVILLE,AUSTIN,Elementary,EE - 05,No,No,634,71.30%,21%,D,69,D,67,C,74,C,74,D,69,D,69,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8902,SEALY ISD,8902104,SEALY EL,REGION 06: HUNTSVILLE,AUSTIN,Elementary,PK - 05,No,No,702,65.70%,26.20%,B,88,B,85,B,87,B,83,B,87,A,91,,,Not Earned,Earned,Not Earned,,Earned,Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8903,BRAZOS ISD,,,REGION 06: HUNTSVILLE,AUSTIN,District,,No,No,848,62.70%,17.30%,C,78,C,78,C,79,D,68,C,79,C,77,,,,,,,,Not Earned,,,,,,,,
8903,BRAZOS ISD,8903001,BRAZOS H S,REGION 06: HUNTSVILLE,AUSTIN,High School,09-דצמ,No,No,287,53.70%,10.80%,C,76,C,78,C,76,F,57,C,76,C,72,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8903,BRAZOS ISD,8903041,BRAZOS MIDDLE,REGION 06: HUNTSVILLE,AUSTIN,Middle School,06-אוג,No,No,211,57.30%,17.10%,B,89,B,85,B,88,C,78,B,88,A,90,,,Not Earned,Earned,Not Earned,Earned,Not Earned,Earned,,10,10,85,85,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
8903,BRAZOS ISD,8903102,BRAZOS EL,REGION 06: HUNTSVILLE,AUSTIN,Elementary,EE - 05,No,No,350,73.40%,22.90%,C,73,C,70,C,75,C,75,C,72,D,68,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,,22,22,28,28,18,18,ZONED SCHOOL-TRANSFERS ACCEPTED
9901,MULESHOE ISD,,,REGION 17: LUBBOCK,BAILEY,District,,No,No,"1,345",89.60%,33.80%,C,79,C,75,B,81,C,71,B,81,C,74,,,,,,,,Not Earned,,,,,,,,
9901,MULESHOE ISD,9901001,MULESHOE H S,REGION 17: LUBBOCK,BAILEY,High School,09-דצמ,No,No,359,87.50%,16.40%,A,93,A,92,A,94,B,84,A,94,A,91,,,Not Earned,Not Earned,Earned,Not Earned,Earned,Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
9901,MULESHOE ISD,9901041,WATSON J H,REGION 17: LUBBOCK,BAILEY,Middle School,06-אוג,No,No,295,89.80%,34.60%,D,68,D,60,C,70,D,62,C,70,D,64,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
9901,MULESHOE ISD,9901101,MARY DESHAZO EL,REGION 17: LUBBOCK,BAILEY,Elementary,03-מאי,No,No,290,87.90%,44.10%,D,69,D,69,C,75,D,63,C,75,D,63,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
9901,MULESHOE ISD,9901103,DILLMAN EL,REGION 17: LUBBOCK,BAILEY,Elementary,EE - 02,No,No,401,92.50%,41.10%,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
10901,MEDINA ISD,,,REGION 20: SAN ANTONIO,BANDERA,District,,No,No,245,65.70%,1.20%,C,70,C,70,D,69,D,69,D,68,C,70,,,,,,,,,,,,,,,,
10901,MEDINA ISD,10901001,MEDINA SCHOOL,REGION 20: SAN ANTONIO,BANDERA,Elem/Secondary,PK - 12,No,No,245,65.70%,1.20%,C,70,C,70,D,69,D,69,D,68,C,70,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,,21,21,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
10902,BANDERA ISD,,,REGION 20: SAN ANTONIO,BANDERA,District,,No,No,"2,375",56.20%,5.60%,C,79,C,71,B,80,B,80,C,70,C,75,,,,,,,,Not Earned,,,,,,,,
10902,BANDERA ISD,10902001,BANDERA H S,REGION 20: SAN ANTONIO,BANDERA,High School,09-דצמ,No,No,713,48.20%,4.50%,B,83,D,68,B,86,B,86,C,70,C,76,,,Not Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,,21,21,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
10902,BANDERA ISD,10902041,BANDERA MIDDLE,REGION 20: SAN ANTONIO,BANDERA,Middle School,06-אוג,No,No,555,55.70%,6.50%,C,78,C,75,C,78,C,78,C,72,C,79,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,21,21,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
10902,BANDERA ISD,10902101,ALKEK EL,REGION 20: SAN ANTONIO,BANDERA,Elementary,EE - 05,No,No,624,61.10%,7.20%,C,76,C,70,C,79,C,79,D,67,D,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,21,21,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
10902,BANDERA ISD,10902102,HILL COUNTRY EL,REGION 20: SAN ANTONIO,BANDERA,Elementary,EE - 05,No,No,483,62.30%,3.90%,C,71,C,72,C,70,D,69,C,70,D,68,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,21,21,53,53,24,24,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,,,REGION 13: AUSTIN,BASTROP,District,,No,No,"12,449",76.70%,41.10%,D,65,D,67,D,69,D,67,D,69,F,57,,,,,,,,Not Earned,,,,,,,,
11901,BASTROP ISD,11901001,BASTROP H S,REGION 13: AUSTIN,BASTROP,High School,09-דצמ,No,No,"1,612",62.30%,22.50%,C,73,C,72,C,75,C,75,C,70,D,68,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,10,10,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901002,CEDAR CREEK H S,REGION 13: AUSTIN,BASTROP,High School,09-דצמ,No,No,"1,995",75.30%,42.30%,D,66,C,71,C,70,C,70,C,70,F,53,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901005,COLORADO RIVER COLLEGIATE ACADEMY,REGION 13: AUSTIN,BASTROP,High School,09-דצמ,No,No,236,56.80%,12.30%,A,98,A,98,A,98,B,89,A,98,A,98,,,Not Earned,Earned,Earned,Earned,Earned,Not Earned,,10,10,17,17,5,5,SELECTIVE ENROL SCHL-CRITERIA-BASED
11901,BASTROP ISD,11901022,GENESIS H S,REGION 13: AUSTIN,BASTROP,High School,09-דצמ,Yes,No,137,85.40%,40.90%,D,69,D,68,C,72,Not Rated,.,C,72,D,62,,,,,,,,,,10,10,17,17,5,5,SELECTIVE ENROL SCHL-CRITERIA-BASED
11901,BASTROP ISD,11901041,BASTROP MIDDLE,REGION 13: AUSTIN,BASTROP,Middle School,07-אוג,No,No,929,79.80%,29.50%,C,73,D,69,C,75,C,70,C,75,D,68,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901101,EMILE EL,REGION 13: AUSTIN,BASTROP,Elementary,PK - 04,No,No,797,66%,30.50%,C,72,C,72,C,72,F,57,C,72,C,71,,,Not Earned,Not Earned,,,Not Earned,Not Earned,,10,10,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901102,MINA EL,REGION 13: AUSTIN,BASTROP,Elementary,EE - 04,No,No,777,55.50%,6.40%,C,77,C,78,B,80,C,70,B,80,D,69,,,Not Earned,Not Earned,,,Not Earned,Not Earned,,10,10,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901103,CEDAR CREEK EL,REGION 13: AUSTIN,BASTROP,Elementary,PK - 04,No,No,"1,074",92%,70.50%,F,48,F,50,F,54,F,54,F,52,F,35,Comprehensive Identified,TRUE,Not Earned,Not Earned,,,Not Earned,Not Earned,,27,27,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901104,BASTROP INT,REGION 13: AUSTIN,BASTROP,Middle School,05-יונ,No,No,780,68.60%,29.90%,D,65,C,70,C,72,D,60,C,72,F,49,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,,27,27,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
11901,BASTROP ISD,11901106,CEDAR CREEK MIDDLE,REGION 13: AUSTIN,BASTROP,Middle School,07-אוג,No,No,"1,039",90.50%,57.10%,F,53,F,56,D,60,F,58,D,60,F,36,Comprehensive Identified,TRUE,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,,27,27,17,17,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
